School_code,School_name,Local_authority,Consortium,Rating,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6704044,BISHOP GORE SCHOOL,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Bishop Gore School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,De-La-Beche Road,Sketty,Swansea,,SA2 9AP,01792 411400,1226.0
6704062,Penyrheol Comprehensive School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,Penyrheol Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontarddulais Road,Gorseinon,Swansea,,SA4 4FG,01792 533066,889.0
6704063,Gowerton Comprehensive School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Gowerton Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cecil Road,Gowerton,Swansea,,SA4 3DL,01792 873461,1185.0
6704069,BISHOPSTON COMPREHENSIVE,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Bishopston Comprehensive,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Glebe,Bishopston,Swansea,,SA3 3JP,01792 234121,1101.0
6704072,Pontarddulais Comprehensive School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Pontarddulais Comprehensive School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caecerrig Road,Pontarddulais,Swansea,,SA4 8PD,01792 884556,814.0
6704074,Ysgol Gyfun Gwyr,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Ysgol Gyfun Gwyr,670.0,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Talbot Street,Tregwyr,Abertawe,,SA4 3DD,01792 872403,1048.0
6704075,BIRCHGROVE,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Birchgrove,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Birchgrove Road,Birchgrove,Swansea,,SA7 9NB,01792 535400,430.0
6704076,Dylan Thomas Community School,Swansea / Abertawe,ERW / ERW,Yellow/Melyn,Dylan Thomas Community School,670.0,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,John Street,Cockett,Swansea,,SA2 0FR,01792 610300,522.0
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Ysgol Gyfun Gymraeg Bryn Tawe,670.0,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gywrosydd,Penlan,Swansea,,SA5 7BU,01792 560600,852.0
6704600,Bishop Vaughan School,Swansea / Abertawe,ERW / ERW,Green/Gwyrdd,Bishop Vaughan School,670.0,Swansea,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Mynydd Garnlwyd Road,Morriston,Swansea,,SA6 7QG,01792 772006,1200.0
6714064,Cefn Saeson Comprehensive School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,Cefn Saeson Comprehensive School,671.0,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Afan Valley Road,Cimla,Neath,,SA11 3TA,01639 791300,778.0
6714065,Cwmtawe Community School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,Cwmtawe Community School,671.0,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ffordd Parc Ynysderw,Pontardawe,Swansea,,SA8 4EG,01792 863200,1228.0
6714066,Llangatwg Community School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,Llangatwg Community School,671.0,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Main Road,Cadoxton,Neath,,SA10 8DB,01639 634700,764.0
6714067,Dwr Y Felin Comprehensive School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,Dwr Y Felin Comprehensive School,671.0,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Dwr Y Felin Road,Neath,,,SA10 7RE,01639 635161,1126.0
6714601,St Joseph's RC School and 6th Form Centre,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,St Joseph's RC School and 6th Form Centre,671.0,Neath Port Talbot,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Newton Avenue,Aberavon,Port Talbot,,SA12 6EY,01639 884305,866.0
6715500,Ysgol Bae Baglan,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,Ysgol Bae Baglan,671.0,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---, SEAWAY PARADE,Sandfields,,PORT TALBOT,SA12 7BL,01639 508540,1491.0
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,Ysgol Gymraeg Ystalyfera Bro Dur,671.0,Neath Port Talbot,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Glan Yr Afon,Ystalyfera,Swansea,,SA9 2DY,01639 842129,1438.0
6715502,Ysgol Cwm Brombil,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,Ysgol Cwm Brombil,671.0,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---,Bertha Road,,Margam,Port Talbot,SA13 2AN,01639 760110,1305.0
6724059,Cynffig Comprehensive,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Cynffig Comprehensive,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,East Avenue,Kenfig Hill,Bridgend,,CF33 6NP,01656 740294,764.0
6724068,Bryntirion Comprehensive.,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Bryntirion Comprehensive.,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Merlin Crescent,Cefn Glas,Bridgend,,CF31 4QR,01656 641100,1193.0
6724071,Maesteg Comprehensive School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Maesteg Comprehensive School,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ffordd Dysgu,Maesteg,Bridgend,,CF34 0LQ,01656 815950,1063.0
6724076,PENCOED COMPREHENSIVE,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Pencoed Comprehensive,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Coychurch Road,Pencoed,Bridgend,,CF35 5LZ,01656 867100,901.0
6724078,Brynteg  School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Brynteg School,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ewenny Road,Bridgend,,,CF31 3ER,01656 641800,1404.0
6724080,PORTHCAWL COMPREHENSIVE SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Porthcawl Comprehensive School,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,52 Park Avenue,Porthcawl,Bridgend,,CF36 3ES,01656 774100,1221.0
6724085,Ysgol Gyfun Gymraeg Llangynwyd,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Ysgol Gyfun Gymraeg Llangynwyd,672.0,Bridgend,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Llangynwyd,Maesteg,Bridgend,,CF34 9RW,01656 815700,622.0
6724086,Coleg Cymunedol Y Dderwen,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Coleg Cymunedol Y Dderwen,672.0,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Yr Ysgol,Tondu,Bridgend,,CF32 9EL,01656 815920,1224.0
6724601,Archbishop McGrath Catholic School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Archbishop McGrath Catholic High School,672.0,Bridgend,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Oak Tree Way,Brackla,Bridgend,,CF31 2DN,01656 815500,879.0
6734060,LLANTWIT MAJOR SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Llantwit Major School,673.0,The Vale of Glamorgan,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ham Lane East,Llantwit Major,Vale of Glamorgan,,CF61 1TQ,01446 793301,972.0
6734065,COWBRIDGE COMPREHENSIVE SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Cowbridge Comprehensive School,673.0,The Vale of Glamorgan,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Aberthin Road,Cowbridge,Vale of Glamorgan,,CF71 7EN,01446 772311,1527.0
6734067,St Cyres Comprehensive School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,St Cyres Comprehensive School,673.0,The Vale of Glamorgan,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,St Cyres Road,Penarth,The Vale of Glamorgan,,CF64 2XP,02920 708708,1156.0
6734068,Whitmore High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Whitmore High School,673.0,The Vale of Glamorgan,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Port Road West,,Barry,Vale of Glamorgan,CF62 8ZJ,01446 411411,922.0
6734069,Pencoedtre High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Pencoedtre High School,673.0,The Vale of Glamorgan,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Merthyr Dyfan Road,,Barry,Vale of Glamorgan,CF62 9YQ,01446 403500,872.0
6734612,St Richard Gwyn Catholic High School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,St Richard Gwyn Catholic High School,673.0,The Vale of Glamorgan,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Argae Lane,Barry,Vale of Glamorgan,,CF63 1BL,01446 729250,795.0
6735400,Stanwell School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Stanwell School,673.0,The Vale of Glamorgan,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Archer Road,Penarth,The Vale of Glamorgan,,CF64 2XL,02920 707633,2001.0
6735500,YSGOL GYMRAEG BRO MORGANNWG,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Ysgol Gymraeg Bro Morgannwg,673.0,The Vale of Glamorgan,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Heol Colcot,Barry,,,CF62 8YU,01446 450280,1266.0
6744019,Bryncelynnog Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Bryncelynnog Comprehensive School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Penycoedcae Road,Beddau,Pontypridd,,CF38 2AE,01443 203411,1210.0
6744022,The Pontypridd High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,The Pontypridd High School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Albion Site,Cilfynydd,Pontypridd,,CF37 4SF,01443 486133,863.0
6744027,Hawthorn High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Hawthorn High School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,School Lane,Hawthorn,Pontypridd,,CF37 5AL,01443 841228,694.0
6744053,Mountain Ash Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Mountain Ash Comprehensive School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,New Road,Mountain Ash,,,CF45 4DG,01443 479199,973.0
6744081,Treorchy Comprehensive School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Treorchy Comprehensive School,674.0,Rhondda Cynon Taf,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Pengelli,Treorchy,Rhondda,,CF42 6UL,01443 773128,1574.0
6744083,Ferndale Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Ferndale Community School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ferndale,,,,CF43 4AR,01443 755337,583.0
6744096,Y Pant Comprehensive,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Y Pant Comprehensive,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cowbridge Road,Talbot Green,Pontyclun,Rhondda Cynon Taf,CF72 8YQ,01443 562250,1366.0
6744097,Ysgol Gyfun Cwm Rhondda,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Ysgol Gyfun Cwm Rhondda,674.0,Rhondda Cynon Taf,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Graigwen,Cymmer,Porth,,CF39 9HA,01443 680800,739.0
6744105,Ysgol Gyfun Rhydywaun,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Ysgol Gyfun Rhydywaun,674.0,Rhondda Cynon Taf,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Rhodfa Lawrence,Penywaun,Hirwaun,Rhondda Cynon Taf,CF44 9ES,01685 813500,1055.0
6744106,Aberdare Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Red/Coch,Aberdare Community School,674.0,Rhondda Cynon Taf,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ynys Road,Ynys,Aberdare,,CF44 7RP,01685 888500,1295.0
6744602,Cardinal Newman R.C.,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Cardinal Newman R.C.,674.0,Rhondda Cynon Taf,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Dynea Road,Rhydyfelin,Pontypridd,Rhondda Cynon Taf,CF37 5DP,01443 494110,896.0
6744604,St.John Baptist High School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,St.John Baptist High School,674.0,Rhondda Cynon Taf,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Church in Wales,Glan Road,Aberdare,Rhondda Cynon Taf,,CF44 8BW,01685 875414,964.0
6745500,Ysgol Llanhari,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Ysgol Llanhari,674.0,Rhondda Cynon Taf,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Llanhari,Pontyclun,Rhondda Cynon Taf,,CF72 9XE,01443 237824,713.0
6745501,Porth Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Red/Coch,Porth Community School,674.0,Rhondda Cynon Taf,Middle,Community,EM,English medium,Middle (ages 3-16),---,Cemetery Road,,,Porth,CF39 0BS,,913.0
6745502,Ysgol Nantgwyn,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Ysgol Nantgwyn,674.0,Rhondda Cynon Taf,Middle,Community,EM,English medium,Middle (ages 3-16),---,Llewellyn Street,Penygraig,,Tonypandy,CF40 1HQ,,1045.0
6745503,Tonyrefail Community School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Tonyrefail Community School,674.0,Rhondda Cynon Taf,Middle,Community,EM,English medium,Middle (ages 3-19),---,Gilfach Road,,Tonyrefail,,CF39 8HG,,1515.0
6745504,Ysgol Garth Olwg,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,Ysgol Garth Olwg,674.0,Rhondda Cynon Taf,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Ysgol Garth Olwg,St Illtyd's Road,Church Village,Pontypridd,CF38 1DX,,1180.0
6754011,Afon Taf High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Afon Taf High School,675.0,Merthyr Tydfil,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Yew Street,Troedyrhiw,Merthyr Tydfil,,CF48 4ED,01685 351830,679.0
6754012,PEN-Y-DRE HIGH SCHOOL,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Pen-Y-Dre High School,675.0,Merthyr Tydfil,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Gurnos Estate,Merthyr Tydfil,,,CF47 9BY,01685 721726,665.0
6754013,Cyfarthfa High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,Cyfarthfa High School,675.0,Merthyr Tydfil,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Cae Mari Dwn,Queen's Road,Merthyr Tydfil,,CF47 0LS,01685 721725,1066.0
6754600,Bishop Hedley High School,Merthyr Tydfil / Merthyr Tudful,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,Bishop Hedley High School,675.0,Merthyr Tydfil,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,Gwaunfarren Road,Penydarren,Merthyr Tydfil,,CF47 9AN,01685 721747,553.0
6764031,Newbridge School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,Newbridge School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bridge Street,Newbridge,Newport,,NP11 5FR,01495 243243,1016.0
6764046,Blackwood Comprehensive School,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,Blackwood Comprehensive School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ty Isha Terrace,Cen Fforest,Blackwood,,NP12 1ER,01495 225566,966.0
6764065,St Cenydd School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,St Cenydd School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,St Cenydd Road,Trecenydd,Caerphilly,,CF83 2RP,02920 852504,1029.0
6764068,Risca Community Comprehensive,Caerphilly / Caerffili,EAS / GCA,Red/Coch,Risca Community Comprehensive,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontymason Lane,Rogerstone,Newport,,NP11 6YY,01633 612425,660.0
6764070,St Martin's School,Caerphilly / Caerffili,EAS / GCA,Green/Gwyrdd,St Martin's School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Hillside,Caerphilly,,,CF83 1UW,02920 858050,1000.0
6764073,HEOLDDU COMPREHENSIVE SCHOOL,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,Heolddu Comprehensive School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Mountain Road,Bargoed,Caerphilly,,CF81 8XL,01443 875531,570.0
6764075,Lewis School Pengam,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,Lewis School Pengam,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gilfach,Bargoed,,,CF81 8LJ,01443 873873,712.0
6764077,Lewis Girls' Comprehensive School,Caerphilly / Caerffili,EAS / GCA,Yellow/Melyn,Lewis Girls' Comprehensive School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Oakfield Street,Ystrad Mynach,,,CF82 7WW,01443 813168,691.0
6764093,Bedwas High School,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,Bedwas High School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Newport Road,Bedwas,Caerphilly,,CF83 8BJ,02920 859800,647.0
6764103,Ysgol Gyfun Cwm Rhymni,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,Ysgol Gyfun Cwm Rhymni,676.0,Caerphilly,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gelli Haf,Fleur De Lys,Blackwood,Caerphilly,NP12 3JQ,01443 875227,1730.0
6764104,Islwyn High School,Caerphilly / Caerffili,EAS / GCA,Red/Coch,Islwyn High School,676.0,Caerphilly,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Waterloo,Oakdale,Blackwood,,NP12 0NU,01495 233600,1078.0
6765500,Idris Davies School 3 to 18,Caerphilly / Caerffili,EAS / GCA,Amber/Oren,Idris Davies School 3 to 18,676.0,Caerphilly,Middle,Community,EM,English medium,Middle (ages 3-19),---,Mill Field,Abertysswg,Rhymney,,NP22 5XF,01685 846900,908.0
6774061,Tredegar Comprehensive School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Green/Gwyrdd,Tredegar Comprehensive School,677.0,Blaenau Gwent,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Stable Lane,Tredegar,Blaenau Gwent,,NP22 4BH,01495 723551,687.0
6775401,Brynmawr Foundation School,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Red/Coch,Brynmawr Foundation School,677.0,Blaenau Gwent,Secondary,Foundation,EM,English medium,Secondary (ages 11-16),---,"Rhydw, Intermediate Road",Brymawr,Blaenau Gwent,,NP23 4XT,01495 310527,693.0
6775500,Ebbw Fawr Learning Community,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Yellow/Melyn,Ebbw Fawr Learning Community,677.0,Blaenau Gwent,Middle,Community,EM,English medium,Middle (ages 3-16),---,Lime Avenue,Ebbw Vale,Blaenau Gwent,,NP23 6GL,01495 354690,1217.0
6775501,Abertillery Learning Community,Blaenau Gwent / Blaenau Gwent,EAS / GCA,Red/Coch,Abertillery Learning Community,677.0,Blaenau Gwent,Middle,Community,EM,English medium,Middle (ages 3-16),---,Alma Street,Abertillery,Blaenau Gwent,,NP13 1HN,01495 355911,1664.0
6784051,Croesyceiliog School,Torfaen / Tor-faen,EAS / GCA,Red/Coch,Croesyceiliog School,678.0,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Woodland Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2YB,01633 645900,1401.0
6784070,Abersychan Comprehensive,Torfaen / Tor-faen,EAS / GCA,Amber/Oren,Abersychan Comprehensive,678.0,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---, INCLINE ROAD,ABERSYCHAN,Pontypool,Torfaen,NP4 7DF,01495 773068,835.0
6784072,West Monmouth School,Torfaen / Tor-faen,EAS / GCA,Amber/Oren,West Monmouth School,678.0,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Blaendare Road,Pontypool,Torfaen,,NP4 5YG,01495 762080,1031.0
6784075,YSGOL GYFUN GWYNLLYW,Torfaen / Tor-faen,EAS / GCA,Red/Coch,Ysgol Gyfun Gwynllyw,678.0,Torfaen,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Folly,Trefddyn,Pontypool,Torfaen,NP4 8JD,01495 750405,803.0
6784076,Cwmbran High School,Torfaen / Tor-faen,EAS / GCA,Red/Coch,Cwmbran High School,678.0,Torfaen,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ty Gwyn Way,Fairwater,Cwmbran,,NP44 4YZ,01633 643950,1123.0
6784603,St. Albans R.C. High School,Torfaen / Tor-faen,EAS / GCA,Green/Gwyrdd,St. Albans R.C. High School,678.0,Torfaen,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic,The Park,Pontypool,Torfaen,,NP4 6XG,01495 765800,841.0
6794060,Monmouth Comprehensive School,Monmouthshire / Sir Fynwy,EAS / GCA,Yellow/Melyn,Monmouth Comprehensive School,679.0,Monmouthshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Old Dixton Road,Monmouth,Monmouthshire,,NP25 3YT,01600 775177,1657.0
6794064,King Henry VIII Comprehensive,Monmouthshire / Sir Fynwy,EAS / GCA,Green/Gwyrdd,King Henry Viii Comprehensive,679.0,Monmouthshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Old Hereford Road,Abergavenny,Monmouthshire,,NP7 6EP,01873 735373,997.0
6794065,Chepstow Comprehensive School,Monmouthshire / Sir Fynwy,EAS / GCA,Amber/Oren,Chepstow Comprehensive School,679.0,Monmouthshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Welsh Street,Chepstow,Monmouthshire,,NP16 5LR,01291 635777,814.0
6794066,Caldicot School,Monmouthshire / Sir Fynwy,EAS / GCA,Yellow/Melyn,Caldicot School,679.0,Monmouthshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Mill Lane,Caldicot,Monmouthshire,,NP26 5XA,01291 426436,1294.0
6804003,St Julian's School,Newport / Casnewydd,EAS / GCA,Red/Coch,St Julian's School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heather Road,St Julian's,Newport,,NP19 7XU,01633 224490,1442.0
6804020,The John Frost School,Newport / Casnewydd,EAS / GCA,Yellow/Melyn,The John Frost School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,"Lighthouse Road,",Duffryn,Newport,,NP10 8YD,01633 654100,1208.0
6804021,Llanwern High School,Newport / Casnewydd,EAS / GCA,Amber/Oren,Llanwern High School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Hartridge Farm Road,Newport,,,NP18 2YE,01633 411116,898.0
6804025,Newport High School,Newport / Casnewydd,EAS / GCA,Red/Coch,Newport High School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Bettws Lane,Newport,,,NP20 7YB,01633 820100,1106.0
6804026,Lliswerry High School,Newport / Casnewydd,EAS / GCA,Amber/Oren,Lliswerry High School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Nash Road,Newport,,,NP19 4RP,01633 277867,933.0
6804030,Bassaleg School,Newport / Casnewydd,EAS / GCA,Green/Gwyrdd,Bassaleg School,680.0,Newport,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Forge Lane,Bassaleg,Newport,,NP10 8NF,01633 892191,1677.0
